date,goal_previous_step1,goal13completions,goal17completions
2020-03-01,Homepage,0,0
2020-03-01,DA course,0,0
2020-03-01,/courses/edaid-apply/data/data_analysis_application_2,0,0
2020-03-01,SD course,0,0
2020-03-01,SD course,0,0
2020-03-02,DA course,0,0
2020-03-02,SD course,0,0
2020-03-02,Entrance,0,0
2020-03-03,Entrance,0,0
2020-03-03,Homepage,0,0
2020-03-03,DA course,0,0
2020-03-03,SD course,0,0
2020-03-03,Edinburgh,0,0
2020-03-03,Entrance,0,0
2020-03-03,/site-map/,0,0
2020-03-04,Entrance,0,0
2020-03-04,Homepage,0,0
2020-03-04,DA course,0,0
2020-03-04,SD course,0,0
2020-03-04,SD course,0,0
2020-03-04,/enquire/,0,0
2020-03-05,Entrance,0,0
2020-03-05,Homepage,0,0
2020-03-05,DA course,0,0
2020-03-05,SD course,0,0
2020-03-05,/enquire/,0,0
2020-03-06,Entrance,0,0
2020-03-06,SD course,0,0
2020-03-06,SD course,0,0
2020-03-06,/enquire/,0,0
2020-03-07,Entrance,0,0
2020-03-07,SD course,0,0
2020-03-08,Homepage,0,0
2020-03-08,SD course,0,0
2020-03-09,Entrance,0,0
2020-03-09,DA course,0,0
2020-03-09,/courses/edaid-apply/,0,0
2020-03-09,/courses/edaid-apply/psd/course_application_2,0,0
2020-03-09,SD course,0,0
2020-03-10,Entrance,0,0
2020-03-10,Homepage,0,0
2020-03-10,SD course,0,0
2020-03-10,/enquire/,0,0
2020-03-11,Entrance,0,0
2020-03-11,Blog,0,0
2020-03-11,SD course,0,0
2020-03-12,Entrance,0,0
2020-03-12,Homepage,0,0
2020-03-12,DA course,0,0
2020-03-12,SD course,0,0
2020-03-12,Glasgow,0,0
2020-03-13,Entrance,0,0
2020-03-13,DA course,0,0
2020-03-13,SD course,0,0
2020-03-14,Entrance,0,0
2020-03-14,Homepage,0,0
2020-03-14,DA course,0,0
2020-03-15,Homepage,0,0
2020-03-15,SD course,0,0
2020-03-16,Entrance,0,0
2020-03-16,DA course,0,0
2020-03-16,SD course,0,0
2020-03-17,Entrance,0,0
2020-03-17,SD course,0,0
2020-03-18,Entrance,0,0
2020-03-18,SD course,0,0
2020-03-19,Entrance,0,0
2020-03-19,SD course,0,0
2020-03-21,Entrance,0,0
2020-03-22,Entrance,0,0
2020-03-22,SD course,0,0
2020-03-22,Glasgow,0,0
2020-03-23,Entrance,0,1
2020-03-23,Homepage,1,0
2020-03-23,Coronavirus,1,1
2020-03-23,DA course,0,0
2020-03-23,SD course,0,0
2020-03-23,/for-employers/hire-with-codeclan/,1,1
2020-03-24,Entrance,1,0
2020-03-24,Homepage,3,2
2020-03-24,Coronavirus,0,1
2020-03-24,DA course,1,0
2020-03-24,SD course,0,0
2020-03-24,Glasgow,0,1
2020-03-25,Entrance,0,1
2020-03-25,DA course,0,0
2020-03-25,SD course,0,1
2020-03-26,Entrance,2,0
2020-03-26,Homepage,0,2
2020-03-26,SD course,0,0
2020-03-26,Webinars,0,2
2020-03-27,Entrance,0,0
2020-03-27,SD course,0,0
2020-03-27,/enquire/,0,0
2020-03-28,Entrance,0,0
2020-03-28,Homepage,1,0
2020-03-28,DA course,1,0
2020-03-28,SD course,0,0
2020-03-29,DA course,2,0
2020-03-29,SD course,0,0
2020-03-30,Entrance,1,0
2020-03-30,Homepage,1,1
2020-03-30,Blog,1,0
2020-03-30,SD course,0,1
2020-03-31,Entrance,0,3
2020-03-31,Not set,0,1
2020-03-31,DA course,1,0
2020-03-31,SD course,0,2
2020-03-31,SD course,0,1
2020-04-01,Entrance,2,1
2020-04-01,DA course,1,0
2020-04-01,SD course,1,2
2020-04-01,SD course,0,1
2020-04-02,Entrance,1,0
2020-04-02,Not set,2,0
2020-04-02,Homepage,1,0
2020-04-02,/courses/full-stack-web-development/,0,0
2020-04-02,SD course,1,0
2020-04-03,Entrance,1,0
2020-04-03,Homepage,0,0
2020-04-03,SD course,0,0
2020-04-03,/enquire/,0,0
2020-04-03,Entrance,1,0
2020-04-04,Entrance,0,0
2020-04-04,Homepage,0,1
2020-04-04,Coronavirus,0,1
2020-04-04,DA course,1,0
2020-04-04,SD course,0,0
2020-04-05,Entrance,0,0
2020-04-05,SD course,0,0
2020-04-05,SD course,0,1
2020-04-05,/courses/python-for-developers/,1,0
2020-04-06,Entrance,1,1
2020-04-06,Not set,0,1
2020-04-06,DA course,0,0
2020-04-06,SD course,0,2
2020-04-07,Homepage,2,1
2020-04-07,Blog,0,0
2020-04-08,Entrance,0,0
2020-04-08,Homepage,0,0
