date,source,sessions,goal13completions,goal17completions
2020-03-01,direct,4,0,0
2020-03-01,direct,1,0,0
2020-03-01,direct,1,0,0
2020-03-01,direct,1,0,0
2020-03-01,direct,1,0,0
2020-03-01,direct,1,0,0
2020-03-01,direct,1,0,0
2020-03-01,direct,1,0,0
2020-03-01,direct,1,0,0
2020-03-01,direct,1,0,0
2020-03-01,direct,1,0,0
2020-03-01,direct,1,0,0
2020-03-01,direct,2,0,0
2020-03-01,direct,1,0,0
2020-03-01,direct,5,0,0
2020-03-01,direct,4,0,0
2020-03-01,direct,1,0,0
2020-03-01,direct,5,0,0
2020-03-01,direct,3,0,0
2020-03-01,direct,1,0,0
2020-03-01,direct,7,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,site_referral,1,0,0
2020-03-01,site_referral,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,social_network,1,0,0
2020-03-01,social_network,1,0,0
2020-03-01,social_network,1,0,0
2020-03-01,other,1,0,0
2020-03-01,other,1,0,0
2020-03-01,search_engine,20,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,4,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,3,0,0
2020-03-01,search_engine,4,0,0
2020-03-01,search_engine,2,0,0
2020-03-01,search_engine,2,0,0
2020-03-01,search_engine,4,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,2,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,2,0,0
2020-03-01,search_engine,2,0,0
2020-03-01,search_engine,2,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,7,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,2,0,0
2020-03-01,search_engine,2,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,19,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,9,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,3,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,6,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,2,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,6,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,2,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,5,0,0
2020-03-01,search_engine,2,0,0
2020-03-01,search_engine,2,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
2020-03-01,search_engine,1,0,0
