date,source,sessions,goal13completions,goal17completions
2020-03-01,direct,1,0,0
2020-03-01,direct,4,0,0
2020-03-01,direct,1,0,0
2020-03-01,direct,1,0,0
2020-03-01,direct,1,0,0
2020-03-01,direct,1,0,0
2020-03-01,direct,7,0,0
2020-03-01,direct,1,0,0
2020-03-01,direct,2,0,0
2020-03-01,direct,1,0,0
2020-03-01,direct,1,0,0
2020-03-01,direct,2,0,0
2020-03-01,direct,1,0,0
2020-03-01,direct,3,0,0
2020-03-01,direct,1,0,0
2020-03-01,direct,1,0,0
2020-03-01,direct,1,0,0
2020-03-01,direct,1,0,0
2020-03-01,direct,1,0,0
2020-03-01,direct,2,0,0
2020-03-01,direct,3,0,0
2020-03-01,search engine,1,0,0
2020-03-01,site referral,1,0,0
2020-03-01,site referral,7,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,1,0,0
2020-03-01,social network,1,0,0
2020-03-01,social network,1,0,0
2020-03-01,social network,1,0,0
2020-03-01,other,9,0,0
2020-03-01,other,3,0,0
2020-03-01,search engine,2,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,18,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,2,0,0
2020-03-01,search engine,3,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,3,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,2,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,2,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,2,1,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,2,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,2,0,0
2020-03-01,search engine,3,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,10,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,2,0,0
2020-03-01,search engine,9,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,1,0,0
2020-03-01,search engine,3,0,0
