date,exitPagePath,sessions,users,timeOnPage,goal13Completions,goal17Completions
2020-03-01,/blog/glasgow-coding-bootcamp-career/,2,7,22,0,0
2020-03-01,/glasgow/,3,1,389,0,0
2020-03-01,/blog/free-courses-launched-techmums/,1,11,101,0,0
2020-03-01,/the-codeclan-experience/the-alumni/,2,1,537,0,0
2020-03-01,/courses/pay-psd-with-knoma-funding/,2,1,0,0,0
2020-03-01,/about-us/join-us/,1,1,2138,0,0
2020-03-01,/courses/thank-you-data-analysis-application/,1,2,51,0,0
2020-03-01,/blog/,1,1,0,0,0
2020-03-01,/campuses/highlands/,3,1,36,0,0
2020-03-01,/courses/professional-software-development/curriculum/,15,1,0,0,0
2020-03-01,/courses/data-analysis/,1,2,0,0,0
2020-03-01,/for-employers/hire-with-codeclan/,1,3,1867,0,0
2020-03-01,/courses/edaid-apply/,1,1,69,0,0
2020-03-01,/summer-school-2020/?mc_cid=f4ee631988&mc_eid=050dadd5cf,1,3,2688,0,0
2020-03-01,/funding/,1,1,672,0,0
2020-03-01,/courses/,13,1,0,0,0
2020-03-01,/courses/software-courses/,9,2,35,0,0
2020-03-01,/meet-cohort-e36/,1,3,286,0,0
2020-03-01,/edinburgh/,9,2,0,0,0
2020-03-01,/funding/,3,4,0,0,0
2020-03-01,/data-protection/,2,4,241,0,0
2020-03-01,/courses/professional-software-development/apply/,22,1,519,0,0
2020-03-01,/courses/learn-sql-data-analysis/,1,2,445,0,0
2020-03-01,/courses/data-analysis/apply/,13,11,0,0,0
2020-03-01,/pre-course-work-data-analysis/,35,2,0,0,0
2020-03-01,/courses/managing-data/,1,1,315,0,0
2020-03-01,/courses/managing-data-business-insights/?fbclid=IwAR1sE5Jd9PqY-BFFENqShTLs9pLIUPwaWy-3d2EBlrWyATNmZloy6GL57NU,1,1,0,0,0
2020-03-01,/courses/learn-html-css/,1,1,0,0,0
2020-03-01,/blog/7-reasons-to-study-data-analysis-at-codeclan/?fbclid=IwAR32LSiigTg3gspMsFJmBSpcIXstwEsPdTBHIjccJYliSjYFehxo-wFQUJk,1,1,0,0,0
2020-03-01,/Edinburgh/,16,1,3448,0,0
2020-03-01,/blog/learn-to-code-working/,1,1,0,0,0
2020-03-01,/Edinburgh/,2,1,99,1,0
2020-03-01,/blog/took-back-control-coding/,1,1,1149,0,0
2020-03-01,/courses/data-analysis/cost-and-funding/,38,1,0,0,0
2020-03-01,/courses/r-programming-data-analysis/,1,3,0,0,0
2020-03-01,/events/inverness-events/,1,1,1947,0,0
2020-03-01,/glasgow/,1,1,2633,0,0
2020-03-01,/blog/hire-developers-online-tests/,1,3,108,0,0
2020-03-01,/summer-school-2020/,3,11,1632,0,0
2020-03-01,/about-us/join-us/partner-account-manager-smes/,4,1,922,0,0
2020-03-01,/courses/understand-software-applications/,1,1,1387,0,0
2020-03-01,/digital-careers/,1,1,0,0,0
2020-03-01,/courses/learn-html-css/?fbclid=IwAR0RvK9vM2YnkHSlnfBWtCfwu-0W9xJGqG9j4or_kO-Qp5SOPG0lH3benAQ,2,1,304,0,0
2020-03-01,/blog/most-asked-questions/,1,2,22,0,0
2020-03-01,/summer-school-2020/?mc_cid=94db439b5b&mc_eid=49d84a0ec0,1,1,228,0,0
2020-03-01,/courses/managing-data-business-insights/,44,2,0,0,0
2020-03-01,/courses/learn-sql-data-analysis/?mc_cid=94db439b5b&mc_eid=ce4326d935,3,1,0,0,0
2020-03-01,/for-employers/community-outreach/,1,1,0,0,1
2020-03-01,/courses/managing-data-business-insights/,1,1,1387,0,0
2020-03-01,/blog/7-celebrities-didnt-know-code/,3,2,5192,0,0
2020-03-01,/courses/,3,1,2091,0,0
2020-03-01,/?fbclid=IwAR293TKQQFB06DVegbTGpe-r2wiim1G-YnDuznoBP5geQNXOpipxFfF3g-w,2,16,249,0,0
2020-03-01,/courses/pay-psd-with-knoma-funding/,13,1,38,0,0
2020-03-01,/coronavirus/,1,4,5371,0,0
2020-03-01,/for-employers/,2,1,1270,0,0
2020-03-01,/for-employers/graduates-for-hire/?mc_cid=3f0d7e8e61&mc_eid=18b5c1ce75,3,1,0,0,0
2020-03-01,/coronavirus/?fbclid=IwAR16MkmvfbhsrzMegWcda6bz2VerBA5SpaiAy7TxagRs7IKq2e3PJuY4SIg,1,2,0,0,0
2020-03-01,/courses/ux-advanced/,4,2,0,0,0
2020-03-01,/Glasgow/,1,1,5,0,0
2020-03-01,/courses/ux-design-fundamentals/,2,1,3870,0,0
2020-03-01,/courses/data-analysis/thank-you-data-pack-download/,1,1,80,0,0
2020-03-01,/?fbclid=IwAR3fl7-D3U2BgBdTcYj0dbHPBEhrjgBqVNe9Mc79l8Nb9A0U1s_cuFujtqs,1,6,148,0,0
2020-03-01,/?fbclid=IwAR1TcHAlbn4rQKVKGqmOVbqYK26kEm-JZI2SflNc1zRKH9kC2A3LP4bkFnU,1,2,15,0,0
2020-03-01,/courses/professional-software-development/curriculum/,2,6,15,0,0
2020-03-01,/blog/category/careers-in-tech/,1,7,65,0,0
2020-03-01,/blog/7-celebrities-didnt-know-code/,3,1,0,0,0
2020-03-01,/blog/top-data-podcasts/,1,1,255,0,0
2020-03-02,/blog/free-courses-launched-techmums/,1,1,55,0,0
2020-03-02,/pre-course-work/,1,1,46,0,0
2020-03-02,/blog/meet-emma-from-primary-teacher-to-front-end-developer/?fbclid=IwAR0KND8v3Wj9tTkpw1-CG8w6I0fwPH_3J199xcGfdJeNOPVzdEudQVgQB-M,1,1,0,0,0
2020-03-02,/about-us/our-team/,69,16,0,0,0
2020-03-02,/?fbclid=IwAR3hkYj_gT0xxGUICqjOXTdnYVqrZy7scOp-4347MY1rUQW-wZ9RIk0Q6qE,1,7,48,0,0
2020-03-02,/courses/professional-software-development/apply/,1,1,0,0,0
2020-03-02,/courses/edaid-apply/,1,16,97,0,0
2020-03-02,/updates/newsletter-thank-you/,1,1,0,0,0
2020-03-02,/updates/newsletter-thank-you/,1,2,1576,0,0
2020-03-02,/courses/programming-fundamentals-with-python/,3,5,848,0,0
2020-03-02,/?fbclid=IwAR3Ye65_TR6DLSdiREUkOq6pF4GPDi--ju0ct-k2rw-V8Vgd28UTNZpZEjE,1,19,141,0,0
2020-03-02,/about-us/our-team/our-board/,1,11,79,0,0
2020-03-02,/courses/managing-data-business-insights/,2,2,0,0,0
2020-03-02,/courses/full-stack-web-development/,6,1,272,0,0
2020-03-02,/blog/hire-developers-online-tests/,15,2,20,0,0
2020-03-02,/for-employers,1,1,204,0,0
2020-03-02,/pre-course-work/,2,17,20,0,0
2020-03-02,/courses/thank-you-for-your-managing-data-for-business-insights-application/?elementor-preview=27836&ver=1588846238,1,3,8858,0,0
2020-03-02,/blog/newsdirect-client-xperience-interview/,1,1,656,0,0
2020-03-02,/courses/professional-software-development/,1,74,332,0,0
2020-03-02,/funding/?ct=t(fundingoptions1)&mc_cid=099199af77&mc_eid=9f090fd15b,4,1,220,0,0
2020-03-02,/?fbclid=IwAR3TIRlIisk1Hgp8m88maxRdxv2KHs_1d-uruLGeADrzA_9AR3tNiDd7xrg,1,1,1826,0,0
2020-03-02,/sumer-school-2020/,18,4,0,0,0
