date,exitPagePath,sessions,users,timeOnPage,goal13Completions,goal17Completions
2020-03-01,/,26,26,1573,0,0
2020-03-01,/about-us/,10,7,1116,0,0
2020-03-01,/about-us/become-a-ta-data/,1,1,0,0,0
2020-03-01,/about-us/become-an-instructor/,1,1,382,0,0
2020-03-01,/about-us/join-us/,3,3,68,0,0
2020-03-01,/about-us/join-us/partner-account-manager-smes/,4,4,86,0,0
2020-03-01,/about-us/our-team/,2,2,23,0,0
2020-03-01,/about-us/our-team/our-board/,2,2,64,0,0
2020-03-01,/admissions-track/,1,1,0,0,0
2020-03-01,/blog/7-celebrities-didnt-know-code/,1,1,0,0,0
2020-03-01,/blog/battled-pokemon-project/,1,1,0,0,0
2020-03-01,/blog/best-podcasts-coders-programmers/,20,19,386,0,0
2020-03-01,/blog/career-change-into-digital/,1,1,0,0,0
2020-03-01,/blog/codeclan-ceo-melinda-matthews/,1,1,0,0,0
2020-03-01,/blog/congratulations-cohort-e29-graduates/,1,1,0,0,0
2020-03-01,/blog/day-life-web-developer/,1,1,0,0,0
2020-03-01,/blog/hire-a-developer-technical-interviews/,1,1,213,0,0
2020-03-01,/blog/how-codeclan-gives-back-to-the-community-in-scotland-with-tech-for-good/,1,1,19,0,0
2020-03-01,/blog/learn-to-code-working/,1,1,0,0,0
2020-03-01,/blog/meet-codeclans-first-highlands-partners/,1,1,0,0,0
2020-03-01,/blog/meet-the-graduates-who-quit-their-jobs-to-learn-how-to-code/,6,6,867,0,0
2020-03-01,/blog/meet-the-team-aileen-mcdonald/,1,1,266,0,0
2020-03-01,/blog/peter-support-engineer-freeagent/,1,1,0,0,0
2020-03-01,/blog/speed-networking-debunked-what-you-need-to-know/,1,1,1012,0,0
2020-03-01,/blog/what-is-javascript-and-why-learn-it/,1,1,179,0,0
2020-03-01,/courses/,13,13,913,0,0
2020-03-01,/courses/agile-for-effective-teams/,1,1,67,0,0
2020-03-01,/courses/bespoke-courses/,1,1,92,0,0
2020-03-01,/courses/data-analysis/,12,10,1577,0,0
2020-03-01,/courses/data-analysis/?fbclid=IwAR2LNAkffCXS8yebS8jwzhpLgCa7GyiWi_CK6zULoKuz6b5B4DeQyqQa0GQ,1,1,0,0,0
2020-03-01,/courses/data-analysis/?fbclid=IwAR2shRlUUF9qMxvFfxICol3UQyZsYtxxM_S1_faW4_U2Qfn2Q8vifdaanGM,1,1,0,0,0
2020-03-01,/courses/data-analysis/application-process/,2,2,2991,0,0
2020-03-01,/courses/data-analysis/apply/,7,2,55,0,0
2020-03-01,/courses/data-analysis/cost-and-funding/,2,2,94,0,0
2020-03-01,/courses/edaid-apply/,1,1,18,0,0
2020-03-01,/courses/edinburgh/,1,1,1264,0,0
2020-03-01,/courses/full-stack-web-development/,4,4,574,0,0
2020-03-01,/courses/full-stack-web-development/cost-and-funding/,1,1,75,0,0
2020-03-01,/courses/professional-software-development/,17,16,1212,0,0
2020-03-01,/courses/professional-software-development/application-and-dates/,2,2,489,0,0
2020-03-01,/courses/professional-software-development/apply/,3,3,1078,0,0
2020-03-01,/courses/professional-software-development/cost-and-funding/,18,14,1345,0,0
2020-03-01,/courses/professional-software-development/curriculum/,3,2,362,0,0
2020-03-01,/courses/professional-software-development/student-projects/,1,1,0,0,0
2020-03-01,/courses/professional-software-development/thank-you-syllabus-download/,1,1,350,0,0
2020-03-01,/courses/programming-with-r/,2,2,0,0,0
2020-03-01,/courses/python-for-developers/,4,4,93,0,0
2020-03-01,/courses/statistical-modelling/,1,1,739,0,0
2020-03-01,/courses/understanding-software-development/,3,3,307,0,0
2020-03-01,/courses/ux-advanced/,1,1,28,0,0
2020-03-01,/courses/ux-design-fundamentals/,7,6,1125,0,0
2020-03-01,/data-analysis-announcement/,2,2,99,0,0
2020-03-01,/data-analysis-announcement/data-analysis-thank-you-for-registering-interest/,1,1,136,0,0
2020-03-01,/data-analysis-announcement/dataset-exercise/,2,2,4699,0,0
2020-03-01,/edinburgh/,4,2,26,0,0
2020-03-01,/Edinburgh/,1,1,0,0,0
2020-03-01,/enquire/,2,2,523,0,0
2020-03-01,/events/edinburgh/,4,3,1193,0,0
2020-03-01,/events/glasgow/,1,1,75,0,0
2020-03-01,/events/info-taster-session-events/,14,13,5300,0,0
2020-03-01,/for-employers/,1,1,20,0,0
2020-03-01,/glasgow/,1,1,228,0,0
2020-03-01,/inverness/,2,2,0,0,0
2020-03-01,/pre-course-work-data-analysis/,6,5,4,0,0
2020-03-01,/pre-course-work/,11,6,5,0,0
2020-03-01,/the-codeclan-experience/,4,3,85,0,0
2020-03-01,/the-codeclan-experience/a-typical-day/,3,3,386,0,0
2020-03-02,/,55,49,3775,0,0
2020-03-02,/?fbclid=IwAR1V7Pvt7_E9o7zbjLjPkjMO5jKaB_x8KaokTjgAVaVEGTVCAe7K89dbiWw,1,1,0,0,0
2020-03-02,/about-us/,10,10,1823,0,0
2020-03-02,/about-us/become-a-ta-data/,2,2,116,0,0
2020-03-02,/about-us/become-an-instructor/,4,4,17,0,0
2020-03-02,/about-us/join-us/,5,5,2168,0,0
2020-03-02,/about-us/join-us/partner-account-manager-smes/,6,6,740,0,0
2020-03-02,/about-us/our-team/,7,6,2080,0,0
2020-03-02,/about-us/our-team/our-board/,4,4,827,0,0
2020-03-02,/admissions-track/,1,1,6,0,0
2020-03-02,/blog/7-celebrities-didnt-know-code/,2,2,0,0,0
2020-03-02,/blog/apply-immersive-programming-course/,1,1,39,0,0
2020-03-02,/blog/author/codeclan/page/2/,1,1,108,0,0
